Upload Face Image,Acne-Free Result,timestamp
,,2025-08-17 13:50:41.561130
.gradio\flagged\Upload Face Image\d0fd216deb8d8cb904cb\download.jpeg,.gradio\flagged\Acne-Free Result\af27df515e4fb41cf52a\image.webp,2025-08-17 13:50:56.199206
.gradio\flagged\Upload Face Image\b33a19b7f5e82cd9308e\Closeup portrait of a womans face with acne _ Premium AI-generated image.jpg,.gradio\flagged\Acne-Free Result\b244b9122b12410e9a6f\image.webp,2025-08-17 13:55:49.558572
.gradio\flagged\Upload Face Image\72daec67d283a8dd3ba9\download.jpg,.gradio\flagged\Acne-Free Result\7b461cace87025dafd86\image.webp,2025-08-17 13:57:10.507399
.gradio\flagged\Upload Face Image\878073338b88ca0dbf07\Normalicemos el acné_ 5 puntos para aprender a verlo como algo natural.jpg,.gradio\flagged\Acne-Free Result\96dda63cfee34cd94285\image.webp,2025-08-17 13:57:59.412900
.gradio\flagged\Upload Face Image\ef6b73aecaac2780be54\Beauty skin.jpg,.gradio\flagged\Acne-Free Result\cf84e0ca80399943a0ef\image.webp,2025-08-17 13:59:16.194213
.gradio\flagged\Upload Face Image\531cb81bc75370adde15\Beauty skin.jpg,.gradio\flagged\Acne-Free Result\68de00d9661dee94c7b9\image.webp,2025-08-17 14:49:23.365813
.gradio\flagged\Upload Face Image\3efbfd6fcad6136d434d\.jpg,.gradio\flagged\Acne-Free Result\b81ee053101dd1222422\image.webp,2025-08-17 14:51:10.884600
.gradio\flagged\Upload Face Image\a7842b0c8c219c350d1d\download 2.jpg,.gradio\flagged\Acne-Free Result\dcc08150fd326282a27a\image.webp,2025-08-17 15:21:39.326389
".gradio\flagged\Upload Face Image\9d56e5dab7542f7b6a3c\Hyper-real skin, natural freckles, and glowing textures  all with just a prompt_.jpg",.gradio\flagged\Acne-Free Result\acee365a01714a647a66\image.webp,2025-08-17 15:25:33.344211
".gradio\flagged\Upload Face Image\6b12a4865a77c1d37de9\Hyper-real skin, natural freckles, and glowing textures  all with just a prompt_.jpg",.gradio\flagged\Acne-Free Result\2c7349cb1853304d525d\image.webp,2025-08-17 15:33:27.560325
